offer_ID,structure_type,floor,structure_age, insurance_amount ,water_damage,price,insurance_claim,mortgage,service_index,company,earthquake_cover,robbery_cover,,
1,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,615,ללא תביעות,לא,null,"ליברה חברה לביטוח בע""מ",כולל,כולל,,
2,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,626,ללא תביעות,לא,81,"הפניקס חברה לביטוח בע""מ",כולל,כולל,,
3,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,644,ללא תביעות,לא,86,"איי. די. איי. חברה לביטוח בע""מ",כולל,כולל,,
4,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,663,ללא תביעות,לא,77,"כלל חברה לביטוח בע""מ",כולל,כולל,,
5,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,664,ללא תביעות,לא,84,"שומרה חברה לביטוח בע""מ",כולל,כולל,,
6,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,672,ללא תביעות,לא,84,"איי אי ג'י ישראל חברה לביטוח בע""מ",כולל,כולל,,
7,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,685,ללא תביעות,לא,78,"שירביט חברה לביטוח בע""מ",כולל,כולל,,
8,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,713,ללא תביעות,לא,72,"מנורה מבטחים ביטוח בע""מ",כולל,כולל,,
9,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,733,ללא תביעות,לא,73,"הכשרה חברה לביטוח בע""מ",כולל,כולל,,
10,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,761,ללא תביעות,לא,80,"ביטוח חקלאי - אגודה שיתופית מרכזית בע""מ",כולל,כולל,,
11,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,980,ללא תביעות,לא,null,"ווישור חברה לביטוח בע""מ",כולל,כולל,,
12,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,982,ללא תביעות,לא,74,"ש. שלמה חברה לביטוח בע""מ",כולל,כולל,,
13,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,"1,018",ללא תביעות,לא,71,"איילון חברה לביטוח בע""מ",כולל,כולל,,
14,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,"1,330",ללא תביעות,לא,76,"מגדל חברה לביטוח בע""מ",כולל,כולל,,
15,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,"1,521",ללא תביעות,לא,79,"הראל חברה לביטוח בע""מ",כולל,כולל,,
16,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,509,ללא תביעות,לא,86,"איי. די. איי. חברה לביטוח בע""מ",כולל,כולל,,
17,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,583,ללא תביעות,לא,73,"הכשרה חברה לביטוח בע""מ",כולל,כולל,,
